"","Current.Liabilities.2023","Long.Term.Debt.2023","Total.Assets.2023","Share.Issued.2023","marketcap23"
"NVDA",6563,9703,41182,24661.36572,1221122.5606768
"AMD",6689,1717,67885,1663,245142.836090088
"TSM",942.8051,918282.8,5532.1966,25930.38,500450
"ASML",16274.7,4631.5,39957.5,399.584578,301298.575946262
"MU",4765,11943,64254,1239,105541.981109619
"AMAT",7372,5461,30729,2024,110250
"GOOG",81814,11870,402392,12460,1753991.78161621
"AAPL",145308,95281,352583,15550.061,2985987.79303462
"META",31960,18385,229623,2561,904632.609130859
"TSLA",28748,2682,106618,3185,791408.786392212
"DUK",17283,72452,176893,770.711728,73217.167275148
